"racer_number","racer_name","racer_name_kana","branch","grade","period_year","period_half"
"3893","汐崎正則","ｷ ﾏｻﾉﾘ","知","B1","2025","前期"
"3895","堀本裕也","ﾕｳﾔ","知","B1","2025","前期"
"3896","上田洋平","ﾖｳﾍｲ","賀","B1","2025","前期"
"3897","白井英治","ｴｲｼﾞ","口","B1","2025","前期"
"3898","平田忠則","ﾀﾀﾞﾉﾘ","岡","B1","2025","前期"
"3900","香川素子","ﾓﾄｺ","賀","B1","2025","前期"
"3901","松田憲幸","ﾉﾘﾕｷ","口","B1","2025","前期"
"3902","蜷川哲平","ﾜ ﾃｯﾍﾟｲ","京","B1","2025","前期"
"3904","森貴洋","ｶﾋﾛ","阪","B1","2025","前期"
"3905","天野友和","ﾄﾓｶｽﾞ","知","B1","2025","前期"
"3906","飯山晃三","ｺｳｿﾞｳ","崎","B1","2025","前期"
"3907","村越篤","ｱﾂｼ","川","B1","2025","前期"
"3908","重成一人","ﾘ ｶｽﾞﾋﾄ","川","B1","2025","前期"
"3909","佐木康幸","ﾔｽﾕｷ","岡","B1","2025","前期"
"3910","松下知幸","ﾄﾓﾕｷ","川","B1","2025","前期"
"3911","鈴木猛","ﾀｹｼ","京","B1","2025","前期"
"3912","川原正明","ﾏｻｱｷ","井","B1","2025","前期"
"3915","繁野谷圭介","ﾔ ｹｲｽｹ","阪","B1","2025","前期"
"3918","深井利寿","ﾄｼﾋｻ","賀","B1","2025","前期"
"3920","正木聖賢","ｾｲｹﾝ","島","B1","2025","前期"
"3921","川村正輝","ﾏｻｷ","井","B1","2025","前期"
"3922","菅沼佳昭","ﾏ ﾖｼｱｷ","知","B1","2025","前期"
"3928","林恵祐","ｹｲｽｹ","岡","B1","2025","前期"
"3929","杢野誓良","ﾁｶﾖｼ","知","B1","2025","前期"
"3930","岸本隆","ﾀｶｼ","山","B1","2025","前期"
"3931","黒崎竜也","ﾀﾂﾔ","重","B1","2025","前期"
"3932","池田浩美","ﾋﾛﾐ","岡","B1","2025","前期"
"3933","山地正樹","ﾏｻｷ","山","B1","2025","前期"
"3934","鋤柄貴俊","ﾗ ﾀｶﾄｼ","知","B1","2025","前期"
"3935","岩津徹郎","ﾃﾂﾛｳ","山","B1","2025","前期"
"3939","渡辺真至","ﾞ ﾏｻｼ","知","B1","2025","前期"
"3940","飯山泰","ﾔｽｼ","京","B1","2025","前期"
"3941","池田浩二","ｺｳｼﾞ","知","B1","2025","前期"
"3942","寺田祥","ｼｮｳ","口","B1","2025","前期"
"3943","三松直美","ﾅｵﾐ","山","B1","2025","前期"
"3944","山口裕二","ﾁ ﾕｳｼﾞ","崎","B1","2025","前期"
"3945","橋口真樹","ﾁ ﾏｷ","知","B1","2025","前期"
"3946","赤岩善生","ﾖｼｵ","知","B1","2025","前期"
"3947","寺本昇平","ｼｮｳﾍｲ","馬","B1","2025","前期"
"3948","大町利克","ﾄｼｶﾂ","阪","B1","2025","前期"
"3949","今出晋二","ｼﾝｼﾞ","山","B1","2025","前期"
"3950","石川哲秀","ﾃｯｼｭｳ","阪","B1","2025","前期"
"3951","石川吉鎬","ﾖｼﾀｶ","阪","B1","2025","前期"
